1207	2	2	1	22099	~	~	~	130	~	~	~	~	~	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1250	2	3	1	21100	18096	~	~	115	~	~	~	~	~	5	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1207	2	3	1	22099	~	~	~	130	~	~	~	~	~	2	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1215	2	3	1	21093	~	~	~	115	~	~	~	~	~	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1105	2	4	12	20074	~	~	~	236	~	~	~	~	~	5	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1948	2	1	2	7935	~	~	~	~	~	~	~	~	~	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1948	2	2	2	6982	~	~	~	212	212	212	~	~	~	1	1	1	2	6	2	4	14	1	0	0	0	0	0	0	0	0	0	
1135	2	5	6	17009	~	~	~	238	~	~	~	~	~	5	13	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1319	2	5	1	16044	~	~	~	119B	~	~	~	~	~	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2907	2	1	1	~	~	~	~	~	~	~	~	~	~	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1785	2	6	1	22040	5106	~	~	262	~	~	~	~	~	5	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1860	2	2	1	10124	~	~	~	325	~	~	~	~	~	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1260	2	2	3	~	~	~	~	~	~	~	~	~	~	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1229	2	1	8	~	~	~	~	~	~	~	~	~	~	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1315	2	4	2	21103	~	~	~	119B	~	~	~	~	~	3	10	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1315	2	5	2	21103	~	~	~	119B	~	~	~	~	~	4	12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1315	2	6	2	21103	~	~	~	119B	~	~	~	~	~	5	14	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1317	2	2	3	21103	~	~	~	119B	~	~	~	~	~	1	12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1317	2	3	3	21103	~	~	~	119B	~	~	~	~	~	2	13	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1317	2	4	3	21103	~	~	~	119B	~	~	~	~	~	3	14	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1317	2	5	3	21103	~	~	~	119B	~	~	~	~	~	4	14	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1317	2	6	3	21103	~	~	~	119B	~	~	~	~	~	5	12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1318	2	2	3	16044	~	~	~	119B	~	~	~	~	~	1	14	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1318	2	3	3	16044	~	~	~	119B	~	~	~	~	~	2	10	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1318	2	4	3	16044	~	~	~	119B	~	~	~	~	~	3	8	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1318	2	5	3	16044	~	~	~	119B	~	~	~	~	~	4	13	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1215	2	3	10	20056	~	~	~	133	~	~	~	~	~	3	14	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1318	2	6	3	16044	~	~	~	119B	~	~	~	~	~	5	10	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1319	2	2	1	16044	~	~	~	119B	~	~	~	~	~	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
