50000	2	1867	3	9	9	10	-1	-1	
50000	2	1940	1	2	4	3	1	-1	
50000	2	1947	3	8	1	-1	-1	-1	
50000	2	2818	2	-1	-1	-1	-1	-1	
53853	2	1012	1	1	2	5	4	5	
53853	2	1207	1	3	3	2	3	-1	
53853	2	1317	1	2	1	3	3	3	
53853	2	1523	2	4	4	4	-1	-1	
53853	2	1605	1	5	5	1	1	3	
53853	2	1765	3	13	13	2	1	-1	
53853	2	1805	1	4	3	2	-1	-1	
53853	2	1936	1	1	1	-1	-1	-1	
53853	2	2807	1	-1	-1	-1	-1	-1	
53853	2	2836	1	3	1	-1	-1	-1	
50021	2	1077	1	1	-1	-1	-1	-1	
50021	2	1281	3	6	6	6	6	-1	
50021	2	1641	2	3	4	3	4	4	
50021	2	1867	1	4	4	3	-1	-1	
50021	2	1947	3	9	1	-1	-1	-1	
50021	2	2818	5	-1	-1	-1	-1	-1	
50022	2	1055	1	2	-1	-1	-1	-1	
50022	2	1059	1	1	-1	-1	-1	-1	
50022	2	1239	2	4	4	4	1	-1	
50022	2	1359	2	6	5	4	6	5	
50022	2	1649	2	4	5	4	5	2	
50022	2	1869	1	4	4	1	-1	-1	
50022	2	1947	3	9	1	-1	-1	-1	
50022	2	2818	2	-1	-1	-1	-1	-1	
50022	2	1077	1	6	-1	-1	-1	-1	
58071	2	1051	1	1	-1	-1	-1	-1	
58071	2	1207	1	4	4	4	4	-1	
58071	2	1245	2	-1	-1	-1	-1	-1	
58071	2	1317	1	2	1	3	3	3	
58071	2	1605	1	5	3	5	3	3	
58071	2	1765	1	4	3	2	1	-1	
58071	2	1843	2	6	-1	-1	-1	-1	
58071	2	1906	1	1	1	-1	-1	-1	
58071	2	2803	5	-1	-1	-1	-1	-1	
58070	2	1055	1	5	-1	-1	-1	-1	
58070	2	1059	1	2	-1	-1	-1	-1	
58070	2	1247	1	-1	-1	-1	-1	-1	
58070	2	1282	2	4	3	-1	-1	-1	
58070	2	1834	2	7	8	7	1	-1	
58070	2	2818	4	-1	-1	-1	-1	-1	
61144	2	1031	1	1	3	4	-1	-1	
61144	2	1261	2	5	4	1	-1	-1	
61144	2	1358	1	3	4	3	4	4	
61144	2	1669	1	1	1	2	1	1	
61144	2	1785	1	3	2	3	1	2	
61144	2	1869	1	1	4	1	-1	-1	
61144	2	1920	2	5	1	-1	-1	-1	
61144	2	2811	1	-1	-1	-1	-1	-1	
46067	2	1055	1	1	-1	-1	-1	-1	
46067	2	1125	2	6	7	7	1	-1	
46067	2	1239	1	3	1	3	1	-1	
46067	2	1649	1	3	3	3	3	2	
46067	2	1867	2	7	6	6	-1	-1	
46067	2	1947	4	12	1	-1	-1	-1	
46067	2	2818	3	-1	-1	-1	-1	-1	
46067	2	1259	1	1	-1	-1	-1	-1	
50766	2	1125	3	9	9	9	1	-1	
50766	2	1225	2	6	5	4	6	-1	
50766	2	1513	1	2	4	2	-1	-1	
50766	2	1637	4	9	10	10	9	9	
50766	2	1743	1	1	-1	-1	-1	-1	
50766	2	1849	1	4	4	2	4	1	
50766	2	1926	1	2	3	2	1	-1	
50766	2	1931	1	3	1	-1	-1	-1	
50766	2	2811	2	-1	-1	-1	-1	-1	
55097	2	1087	1	1	1	-1	-1	-1	
55097	2	1209	2	6	5	7	1	-1	
55097	2	1435	1	2	1	1	2	-1	
55097	2	1337	1	2	2	2	1	1	
55097	2	1609	2	5	4	4	4	1	
