2801	53096	1792	101
2801	53096	1867	101
2801	53096	2818	101
2801	53096	2945	101
2801	53096	1606	101
2801	49072	1031	101
2801	49072	1051	101
2801	49072	1207	115
2801	49072	1357	101
2801	49072	1609	101
2801	49072	1765	102
2801	49072	1809	105
2801	49072	1906	102
2801	49072	2807	105
2801	47273	1025	101
2801	47273	1116	101
2801	47273	1125	104
2801	47273	1225	108
2801	47273	1357	104
2801	47273	1635	101
2801	47273	1834	107
2801	47273	1926	109
2801	51510	1209	108
2801	51510	1357	105
2801	51510	1422	102
2801	51510	1435	103
2801	51510	1605	103
2801	51510	1765	102
2801	51510	1805	104
2801	51510	1906	102
2801	51510	2807	103
2801	58427	1225	113
2801	58427	1422	103
2801	58427	1606	101
2801	58427	1613	101
2801	58427	1765	101
2801	58427	1785	101
2801	58427	1843	101
2801	58427	1906	106
2801	13190	1088	101
2801	13190	1250	101
2801	13190	1524	101
2801	13190	1540	103
2801	13190	1649	102
2801	13190	1867	101
2801	13190	2818	104
2801	48566	1250	102
2801	48566	1320	101
2801	48566	1508	101
2801	48566	1649	102
2801	48566	1869	101
2801	48566	1947	109
2801	48566	2818	102
2801	44278	1235	101
2801	44278	1360	101
2801	44278	1648	101
2801	44278	1867	101
2801	44278	1947	102
2801	44278	2818	102
2801	44278	2810	104
2801	45741	1225	102
2801	45741	1338	101
2801	45741	1524	101
2801	45741	1535	101
2801	45741	1637	103
2801	45741	1849	102
2801	45741	1925	110
2801	48156	1025	101
2801	48156	1105	103
2801	48156	1215	110
2801	48156	1338	101
2801	48156	1615	104
2801	48156	1845	101
2801	48156	1915	104
2801	48156	2810	103
2801	53301	1207	112
2801	53301	1225	119
2801	53301	1317	101
2801	53301	1427	102
2801	53301	1635	102
2801	53301	1785	101
2801	53301	1849	101
2801	53301	1925	107
2801	52389	1012	102
2801	52389	1077	101
2801	52389	1209	105
2801	52389	1269	101
2801	52389	1355	101
2801	52389	1605	103
2801	52389	1765	101
2801	52389	1809	107
2801	52389	2807	102
2801	52389	4135	101
2801	45684	1088	101
2801	45684	1261	101
2801	45684	1358	103
2801	45684	1637	102
2801	45684	1782	102
2801	45684	1849	101
2801	45684	1926	109
2801	45684	1938	102
2801	48448	1207	108
2801	48448	1355	103
2801	48448	1513	101
2801	48448	1605	105
2801	48448	1765	101
2801	48448	1805	106
2801	48448	1906	107
2801	48448	1936	101
2801	48448	2807	101
2801	709216	1077	101
2801	709216	1207	116
2801	709216	1335	101
2801	709216	1765	101
2801	709216	1815	101
2801	709216	1906	106
2801	709216	2801	102
2801	48165	1135	102
2801	48165	1207	105
2801	48165	1412	104
2801	48165	1523	103
2801	48165	1604	101
2801	48165	1765	102
2801	48165	1843	106
2801	48165	1936	102
2801	48165	2802	105
2801	57969	1035	101
2801	57969	1239	102
2801	57969	1317	101
2801	57969	1637	102
2801	57969	1947	108
2801	57969	2818	101
2801	12327	1125	101
2801	12327	1261	105
2801	12327	1359	102
2801	12327	1649	101
2801	12327	1744	101
2801	12327	1860	102
2801	12327	1926	103
2801	50132	1105	102
2801	50132	1225	114
2801	50132	1245	103
2801	50132	1265	101
2801	50132	1650	101
2801	50132	1849	101
2801	50132	1925	111
2801	50132	2904	101
2801	12953	1215	109
2801	12953	1524	101
2801	12953	1584	101
2801	12953	1606	101
2801	12953	1613	101
2801	12953	1765	102
2801	12953	1843	103
2801	12953	1915	107
2801	12953	2810	104
2801	58906	1012	101
2801	58906	1207	102
2801	58906	1355	101
2801	58906	1422	102
2801	58906	1605	101
2801	58906	1765	102
2801	58906	1809	105
2801	58906	1907	101
2801	58906	2803	105
2801	41351	1051	101
2801	41351	1077	101
2801	41351	1207	108
2801	41351	1412	101
2801	41351	1605	102
2801	41351	1765	101
2801	41351	1805	103
2801	41351	1906	110
2801	41351	2804	101
2801	48316	1031	102
2801	48316	1051	101
2801	48316	1207	107
2801	48316	1357	104
2801	48316	1605	101
2801	48316	1765	101
2801	48316	1805	105
2801	48316	1906	103
2801	48316	2802	101
2801	11636	1033	101
2801	11636	1126	104
2801	11636	1282	103
2801	11636	1446	101
2801	11636	1624	101
2801	11636	1867	102
2801	11636	2818	104
2801	39225	1012	101
2801	39225	1843	102
2801	39225	2801	104
2801	39225	2906	101
2801	39225	2945	101
2801	39225	2946	101
2801	39225	2947	101
2801	39225	2948	101
2801	39225	2950	101
2801	39225	1051	101
2801	39225	1135	104
2801	46611	1061	101
2801	46611	1215	108
2801	46611	1358	103
2801	46611	1615	101
2801	46611	1733	101
2801	46611	1834	101
2801	46611	1915	102
2801	46611	2810	103
2801	47441	1056	101
2801	47441	1061	101
2801	47441	1105	101
2801	47441	1219	104
2801	47441	1358	101
2801	47441	1629	101
2801	47441	1773	101
2801	47441	1834	105
2801	47441	1919	101
2801	47441	2810	104
2801	42835	1055	101
2801	42835	1059	101
2801	42835	1119	101
2801	42835	1126	103
2801	42835	1199	101
2801	42835	1239	101
2801	42835	1649	103
2801	42835	1867	101
2801	42835	2818	102
2801	57401	1032	101
2801	57401	1215	108
2801	57401	1355	103
2801	57401	1615	104
2801	57401	1783	101
2801	57401	1834	103
2801	57401	1915	105
2801	57401	2810	102
2801	52043	1077	101
2801	52043	1209	106
2801	52043	1357	102
2801	52043	1412	104
2801	52043	1605	101
2801	52043	1765	101
2801	52043	1809	108
2801	52043	1906	106
2801	52043	2808	101
2801	39570	1207	102
2801	39570	1337	101
2801	39570	1412	102
2801	39570	1582	101
2801	39570	1609	101
2801	39570	1765	101
2801	39570	1809	108
2801	39570	1906	108
2801	39570	2803	102
2801	48563	1222	101
2801	48563	1281	101
2801	48563	1649	102
2801	48563	1867	102
2801	48563	1931	102
2801	48563	1938	102
2801	48563	2818	102
2801	46976	1105	102
2801	46976	1215	112
2801	46976	1357	105
2801	46976	1615	104
2801	46976	1782	102
2801	46976	1845	102
2801	46976	1915	102
2801	46976	2810	105
2801	58830	1012	103
2801	58830	1207	106
2801	58830	1337	101
2801	58830	1503	101
2801	58830	1605	105
2801	58830	1765	101
2801	58830	1809	104
2801	58830	1907	102
2801	58830	2804	104
2801	56949	1032	101
2801	56949	1125	103
2801	56949	1225	104
2801	56949	1315	101
2801	56949	1635	101
2801	56949	1834	107
2801	56949	1926	103
2801	45742	1259	101
2801	45742	1261	105
2801	45742	1270	101
2801	45742	1359	101
2801	45742	1670	101
2801	45742	1865	101
2801	45742	1869	105
2801	45742	1920	102
2801	48975	1012	101
2801	48975	1209	104
2801	48975	1357	104
2801	48975	1422	102
2801	48975	1605	102
2801	48975	1765	102
2801	48975	1809	106
2801	48975	1907	103
2801	48975	2807	104
2801	44450	1239	110
2801	44450	1256	101
2801	44450	1269	101
2801	44450	1350	101
2801	44450	1680	101
2801	44450	1820	101
2801	44450	1947	106
2801	44450	2818	105
2801	42546	1077	101
2801	42546	1215	105
2801	42546	1247	101
2801	42546	1368	101
2801	42546	1629	101
2801	42546	1782	101
2801	42546	1834	103
2801	42546	1919	103
2801	42546	2810	102
2801	45403	1056	101
2801	45403	1061	101
2801	45403	1106	101
2801	45403	1219	107
2801	45403	1368	101
2801	45403	1615	104
2801	45403	1783	101
2801	45403	1845	101
2801	45403	1919	105
2801	45403	2810	104
2801	48498	1051	101
2801	48498	1057	101
2801	48498	1209	105
2801	48498	1337	101
2801	48498	1609	102
2801	48498	1765	101
2801	48498	1809	104
2801	48498	1906	104
2801	48498	1931	102
2801	48498	2807	101
2801	51167	1088	101
