StudentID	Student_Number	CourseNumber	YearID
72023	54421	2912Tu	3500
85082	57223	2912Tu	3500
121843	52288	2912	3500
112295	61580	1017	3500
112295	61580	2912W	3500
73127	54679	2912F	3500
73127	54679	1787A	3500
73465	55151	2912Tu	3500
102526	59011	1126A	3500
73345	55070	2912Th	3500
73345	55070	2912F	3500
54442	46913	1125A	3500
116575	62171	2912Tu	3500
116575	62171	2912	3500
128873	63888	1125A	3500
128873	63888	2912	3500
128873	63888	2912F	3500
73014	54566	2912W	3500
102924	59124	2912	3500
102924	59124	1135A	3500
136146	65148	1116A	3500
136146	65148	2912W	3500
136146	65148	2912Tu	3500
129762	64092	1765A	3500
129762	64092	2912	3500
71720	54354	1523A	3500
71720	54354	2912F	3500
71720	54354	2912W	3500
71720	54354	2912Th	3500
74454	55736	1765A	3500
74454	55736	2912	3500
93675	58089	2802	3500
93675	58089	2912F	3500
116808	62362	2912W	3500
116808	62362	1783A	3500
116808	62362	1936A	3500
111796	61221	2912Tu	3500
111796	61221	2912Th	3500
111796	61221	2912	3500
121586	70107	1088A	3500
65735	51280	1959A	3500
65735	51280	2912W	3500
71605	54247	2912W	3500
69054	52183	2912F	3500
73593	55227	1940A	3500
73593	55227	2912	3500
73593	55227	2912F	3500
73593	55227	2912Tu	3500
136441	65246	2811C	3500
123127	63380	1444A	3500
72478	54488	2912	3500
74842	55889	1061A	3500
74842	55889	1065A	3500
74842	55889	2912Th	3500
70601	53422	2912Tu	3500
70601	53422	2912W	3500
70601	53422	2912Th	3500
70601	53422	2912	3500
70589	53410	1524	3500
70589	53410	2912	3500
70589	53410	2912Tu	3500
70371	53194	1525A	3500
117436	62791	2912Tu	3500
117436	62791	2912	3500
71229	53983	2818L	3500
71229	53983	2912Th	3500
112066	61470	2811S	3500
112066	61470	2912Tu	3500
112066	61470	2912Th	3500
84700	57115	1685A	3500
84700	57115	2912Th	3500
130283	64461	2912Tu	3500
130283	64461	2912W	3500
123281	63402	2811H	3500
123281	63402	2912Th	3500
123281	63402	2912	3500
111995	61393	2807	3500
111995	61393	2912Th	3500
70663	53484	1940A	3500
70663	53484	2912Th	3500
70663	53484	2912F	3500
70663	53484	2912Tu	3500
112323	61583	2818L	3500
54630	46989	2912	3500
101673	58861	2912F	3500
101673	58861	2912	3500
101673	58861	2912W	3500
101673	58861	2912Tu	3500
73319	55044	2912F	3500
106884	59812	1035A	3500
74925	55971	1940A	3500
74925	55971	1256A	3500
75283	56395	2912	3500
75283	56395	2912W	3500
75283	56395	2912Tu	3500
136685	65338	2811L	3500
136685	65338	1765A	3500
82023	56975	2818C	3500
82023	56975	2912Tu	3500
30753	701132	1017	3500
30753	701132	1125A	3500
113773	61884	2912F	3500
113773	61884	2912Tu	3500
113773	61884	1784A	3500
72540	54523	2912Th	3500
102075	58914	2912W	3500
102075	58914	2912Tu	3500
123277	63398	2912Th	3500
123277	63398	2912Tu	3500
123277	63398	2912	3500
126123	63708	2912F	3500
102129	58923	2912W	3500
70399	53222	2912Th	3500
70399	53222	2912F	3500
135648	64996	2912Tu	3500
85041	57197	2912Th	3500
71540	54203	2912	3500
71540	54203	2912W	3500
88131	57593	1422A	3500
88131	57593	1434	3500
70392	53215	2912W	3500
123776	63558	2912F	3500
123776	63558	2912W	3500
119223	63007	2912Th	3500
85210	57275	1907A	3500
112438	61619	2912Tu	3500
133037	64803	2912	3500
108138	60594	1055A	3500
108138	60594	2912Th	3500
70727	53515	2912	3500
85187	57252	2912	3500
85033	57189	2912Tu	3500
117243	62630	2912Th	3500
81173	56945	2912Tu	3500
85840	57439	2912Th	3500
85840	57439	2912W	3500
107432	60359	2912F	3500
107432	60359	1782A	3500
107432	60359	1907A	3500
107432	60359	2912W	3500
84884	57165	1765A	3500
84884	57165	2912F	3500
84884	57165	2912	3500
84884	57165	1725A	3500
87276	57527	2912Th	3500
117824	62912	1434	3500
73123	54675	2912Tu	3500
73123	54675	1125A	3500
73123	54675	2912	3500
80272	61021	1031A	3500
129732	64059	2912F	3500
129732	64059	2912Th	3500
129732	64059	2912Tu	3500
84779	57148	1254A	3500
84779	57148	2912	3500
70329	53152	1065A	3500
70329	53152	2912Tu	3500
70329	53152	2912	3500
64025	50810	2912F	3500
64025	50810	2912	3500
107236	59994	2912Th	3500
70660	53481	2912Th	3500
58676	48716	2912F	3500
58676	48716	2912Tu	3500
75132	56378	2912W	3500
108012	60532	2912W	3500
111913	61298	2912F	3500
111913	61298	2912W	3500
59233	49098	2912Tu	3500
59233	49098	1413A	3500
86673	57501	2912Tu	3500
72979	54175	2912Tu	3500
